藥品代碼,藥品名稱,數量,支付價,藥商
AB45041100,BAMBUTEROL ， 一般錠劑膠囊劑 ， 10.00 MG,1952170.3,3.93,信東生技股份有限公司
AB45070100,ALPRAZOLAM ， 一般錠劑膠囊劑 ， 500.00 MCG,495830.6,1.5,五洲製藥股份有限公司
AB450701G0,ALPRAZOLAM ， 一般錠劑膠囊劑 ， 500.00 MCG,16543753.2,2,五洲製藥股份有限公司
AB45150100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,1803634.6,1.5,生達化學製藥股份有限公司
AB451501G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,1129000.3,2,生達化學製藥股份有限公司
AB45279100,ZOLPIDEM ， 一般錠劑膠囊劑 ， 10.00 MG,1370270.5,2.81,五洲製藥股份有限公司
AB45305100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,2454437.5,1.5,永信藥品工業股份有限公司
AB453051G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,2928371.8,2,永信藥品工業股份有限公司
AB45348100,BISOPROLOL ， 一般錠劑膠囊劑 ， 5.00 MG,9289900.1,3.42,健喬信元醫藥生技股份有限公司
AB45363100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,249768.6,1.5,生達化學製藥股份有限公司二廠
AB453631G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,8371369.3,2,生達化學製藥股份有限公司二廠
AB45387100,FINASTERIDE ， 一般錠劑膠囊劑 ， 5.00 MG,1053481.6,23.3,瑞安大藥廠股份有限公司
AB45392100,FELODIPINE ， 緩釋錠劑膠囊劑 ， 5.00 MG,3395769.0,3.74,信東生技股份有限公司
AB45412100,PIRACETAM ， 一般錠劑膠囊劑 ， 1200.00 MG,1594097.1,2.67,南光化學製藥股份有限公司
AB45415151,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 60.00 ML,330925.6,25,盈盈生技製藥股份有限公司三峽廠
AB45415157,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 120.00 ML,2806.0,78,盈盈生技製藥股份有限公司三峽廠
AB45416100,PROCATEROL ， 一般錠劑膠囊劑 ， 25.00 MCG,1935028.3,1.8,生達化學製藥股份有限公司二廠
AB454161G0,PROCATEROL ， 一般錠劑膠囊劑 ， 25.00 MCG,999444.6,2,生達化學製藥股份有限公司二廠
AB45438151,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 60.00 ML,300334.2,25,生達化學製藥股份有限公司二廠
AB45438157,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 120.00 ML,49563.0,78,生達化學製藥股份有限公司二廠
AB45485430,BUDESONIDE ， 耳鼻用液劑 ， 100 MCG/DOSE， 120.00 ， DOSE,27035.2,94,健喬信元醫藥生技股份有限公司
AB45485438,BUDESONIDE ， 耳鼻用液劑 ， 100 MCG/DOSE， 200.00 ， DOSE,93628.2,193,健喬信元醫藥生技股份有限公司
AB45492100,PROCATEROL ， 一般錠劑膠囊劑 ， 25.00 MCG,2365743.9,1.64,信東生技股份有限公司
AB454921G0,PROCATEROL ， 一般錠劑膠囊劑 ， 25.00 MCG,5326610.4,2,信東生技股份有限公司
AB45592100,LAMOTRIGINE ， 一般錠劑膠囊劑 ， 100.00 MG,238582.5,24.1,五洲製藥股份有限公司
AB45621100,FINASTERIDE ， 一般錠劑膠囊劑 ， 5.00 MG,553833.6,23.3,中國化學製藥股份有限公司新豐工廠
AB45725100,ETODOLAC ， 緩釋錠劑膠囊劑 ， 400-600 MG,1793045.5,9.8,東生華製藥股份有限公司
AB45844100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,900937.0,1.5,瑞安大藥廠股份有限公司
AB458441G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,309365.0,2,瑞安大藥廠股份有限公司
AB45856100,VALPROIC ACID ， 一般錠劑膠囊劑 ， 200.00 MG,102.0,3.53,瑞安大藥廠股份有限公司
AB45955100,INDAPAMIDE ， 緩釋錠劑膠囊劑 ， 1.50 MG,466739.0,3.29,南光化學製藥股份有限公司
AB45961100,VENLAFAXINE ， 一般錠劑膠囊劑 ， 37.50 MG,2789.0,9.9,生達化學製藥股份有限公司二廠
AB45993100,ACETYLCYSTEINE ， 一般錠劑膠囊劑 ， 600.00 MG,77972570.5,6.9,健喬信元醫藥生技股份有限公司
AB46016100,TAMSULOSIN ， 緩釋錠劑膠囊劑 ， 200.00 MCG,5334828.7,9.6,生達化學製藥股份有限公司二廠
AB46029100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 10.00 MG,291679.0,9.6,信東生技股份有限公司
AB46074100,GLIMEPIRIDE ， 一般錠劑膠囊劑 ， 2.00 MG,1091674.5,3.12,健亞生物科技股份有限公司
AB46145100,OXAZEPAM ， 一般錠劑膠囊劑 ， 15.00 MG,3761744.5,3.88,曼哈頓企業有限公司
AB46173151,PROCATEROL ， 口服液劑 ， 5.00  MCG/ML ， 60.00 ML,12.0,58,倍斯特醫藥生物科技股份有限公司
AB46184100,TOLPERISONE ， 一般錠劑膠囊劑 ， 150.00 MG,1049165.8,2.14,盈盈生技製藥股份有限公司三峽廠
AB461841G0,TOLPERISONE ， 一般錠劑膠囊劑 ， 150.00 MG,3890807.5,2,盈盈生技製藥股份有限公司三峽廠
AB46237100,CITALOPRAM ， 一般錠劑膠囊劑 ， 20.00 MG,822.0,9.3,十全實業股份有限公司
AB46242151,DOMPERIDONE ， 口服液劑 ， 1.00  MG/ML ， 60.00 ML,497536.1,30.4,晟德大藥廠股份有限公司新竹廠
AB46242199,DOMPERIDONE ， 口服液劑 ， 1.00  MG/ML ， 1.00 ML,90.0,0.38,晟德大藥廠股份有限公司新竹廠
AB46283100,ITRACONAZOLE ， 一般錠劑膠囊劑 ， 100.00 MG,2726670.1,25.5,永勝藥品工業股份有限公司
AB46315100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG， 一般錠劑膠囊劑,6330034.3,9.3,生達化學製藥股份有限公司二廠
AB46480100,FELODIPINE ， 緩釋錠劑膠囊劑 ， 5.00 MG,27659.0,5.8,盈盈生技製藥股份有限公司三峽廠
AB46524100,VALPROIC ACID ， 緩釋錠劑膠囊劑 ， 500.00 MG,3846681.2,9,信東生技股份有限公司
AB46613100,ACECLOFENAC ， 一般錠劑膠囊劑 ， 100.00 MG,10217467.5,5.5,五洲製藥股份有限公司
AB46620100,REPAGLINIDE 1MG + METFORMIN 0-500MG ， 一般錠劑膠囊劑,2133788.0,3.42,優生製藥廠股份有限公司
AB46639457,BUDESONIDE ， 耳鼻用液劑 ， 64 MCG/DOSE， 120.00 ， DOSE,6714.0,195,台灣海默尼藥業有限公司
AB46646100,PANTOPRAZOLE ， 一般錠劑膠囊劑 ， 40.00 MG,1429708.6,22,十全實業股份有限公司
AB46658100,GLICLAZIDE ， 緩釋錠劑膠囊劑 ， 30.00 MG,4767.0,2.1,瑩碩生技醫藥股份有限公司
AB46661100,VALSARTAN 80MG + HYDROCHLOROTHIAZIDE 0-12.5MG， 一般錠劑膠囊劑,2520.0,9.6,健喬信元醫藥生技股份有限公司
AB46742100,BENAZEPRIL 10MG + AMLODIPINE 5MG， 一般錠劑膠囊劑,13585580.9,9.6,東生華製藥股份有限公司
AB46749100,TOPIRAMATE ， 一般錠劑膠囊劑 ， 100.00 MG,5367.0,34.2,安成國際藥業股份有限公司
AB46766100,GLIMEPIRIDE ， 一般錠劑膠囊劑 ， 2.00 MG,2694051.5,2.92,信東生技股份有限公司
AB46991157,MEGESTROL ， 口服液劑 ， 40.00 MG/ML ， 120.00 ML,224594.9,986,晟德大藥廠股份有限公司
AB46991164,MEGESTROL ， 口服液劑 ， 40.00 MG/ML ， 240.00 ML,14.0,3072,晟德大藥廠股份有限公司
AB47003221,EPIRUBICIN ， 注射劑 ， 10.00 MG,47181.5,784,台灣東洋藥品工業股份有限公司
AB47003229,EPIRUBICIN ， 注射劑 ， 20.00 MG,5551.0,990,台灣東洋藥品工業股份有限公司
AB47003240,EPIRUBICIN ， 注射劑 ， 50.00 MG,22121.8,4007,台灣東洋藥品工業股份有限公司
AB47070100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,66875.0,1.8,盈盈生技製藥股份有限公司三峽廠
AB470701G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,186778.0,2,盈盈生技製藥股份有限公司三峽廠
AB47071209,KETOROLAC ， 注射劑 ， 30.00 MG,97009.3,23.1,萬宇康有限公司
AB47079100,LAMOTRIGINE ， 一般錠劑膠囊劑 ， 50.00 MG,364.0,8.9,五洲製藥股份有限公司
AB47147100,PIRACETAM ， 一般錠劑膠囊劑 ， 1200.00 MG,49641.5,3.34,生達化學製藥股份有限公司
AB47172100,GLIMEPIRIDE ， 一般錠劑膠囊劑 ， 2.00 MG,9353093.4,4.56,健喬信元醫藥生技股份有限公司
AB47228100,FENOFIBRATE ， 一般錠劑膠囊劑 ， 145.00-200.00 MG,3424386.1,7.4,正和製藥股份有限公司新營廠
AB47273100,VENLAFAXINE ， 緩釋錠劑膠囊劑 ， 75.00 MG,6277.0,8.5,保盛藥業股份有限公司
AB47294100,RISPERIDONE ， 一般錠劑膠囊劑 ， 2.00 MG,3259252.2,9.5,鴻汶醫藥實業有限公司
AB47307100,ACARBOSE ， 一般錠劑膠囊劑 ， 50.00 MG,56.0,3.61,十全實業股份有限公司
AB47310100,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,3401746.0,1.5,盈盈生技製藥股份有限公司三峽廠
AB473101G0,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,10832951.2,2,盈盈生技製藥股份有限公司三峽廠
AB47348100,SIMVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,813959.2,8.1,生達化學製藥股份有限公司
AB47368100,LANSOPRAZOLE ， 一般錠劑膠囊劑 ， 30.00 MG,179781.0,9,保盛藥業股份有限公司
AB47372100,INDAPAMIDE ， 緩釋錠劑膠囊劑 ， 1.50 MG,2521738.3,3.08,生達化學製藥股份有限公司
AB47407100,RISPERIDONE ， 一般錠劑膠囊劑 ， 3.00 MG,1005741.1,48,鴻汶醫藥實業有限公司
AB47419100,RISPERIDONE ， 一般錠劑膠囊劑 ， 1.00 MG,1792836.7,9.2,鴻汶醫藥實業有限公司
AB47472100,ACEBUTOLOL ， 一般錠劑膠囊劑 ， 400.00 MG,33437.5,6.2,盈盈生技製藥股份有限公司三峽廠
AB47477100,GABAPENTIN ， 一般錠劑膠囊劑 ， 300.00 MG,1099.0,9.9,吉如有限公司
AB47516100,LEVOFLOXACIN ， 一般錠劑膠囊劑 ， 500.00 MG,2367350.7,46.3,台灣第一三共股份有限公司
AB47532100,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,142019.0,1.81,壽元化學工業股份有限公司
AB475321G0,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,489342.0,2,壽元化學工業股份有限公司
AB47538100,BISOPROLOL ， 一般錠劑膠囊劑 ， 5.00 MG,10382913.7,3.86,信東生技股份有限公司
AB47539100,ANASTROZOLE ， 一般錠劑膠囊劑 ， 1.00 MG,236253.8,94,台灣東洋藥品工業股份有限公司
AB47553100,VALPROIC ACID ， 緩釋錠劑膠囊劑 ， 500.00 MG,1742713.4,9,瑞安大藥廠股份有限公司
AB47629100,TAMSULOSIN ， 緩釋錠劑膠囊劑 ， 200.00 MCG,12568347.5,9.6,五洲製藥股份有限公司
AB47656100,MOSAPRIDE ， 一般錠劑膠囊劑 ， 5.00 MG,4715401.6,2.86,東生華製藥股份有限公司
AB47671100,ACARBOSE ， 一般錠劑膠囊劑 ， 50.00 MG,413789.4,3.61,瑞安大藥廠股份有限公司
AB47689100,OXCARBAZEPINE ， 一般錠劑膠囊劑 ， 300.00 MG,381027.5,9.6,健亞生物科技股份有限公司
AB47792166,LACTULOSE ，口服液劑 ， 300.00 ML  600-667MG/ML,41764.7,95,順華藥品工業股份有限公司三峽工廠
AB47792177,LACTULOSE ， 口服液劑 ，500.00 ML  600-667MG/ML,64045.0,203,順華藥品工業股份有限公司三峽工廠
AB47811100,ACARBOSE ， 一般錠劑膠囊劑 ， 100.00 MG,9762487.5,7.7,瑩碩生技醫藥股份有限公司
AB47848100,ACARBOSE ， 一般錠劑膠囊劑 ， 50.00 MG,100982.0,3.61,瑩碩生技醫藥股份有限公司
AB47872223,GEMCITABINE ， 注射劑 ， 200.00 MG,274677.0,940,台灣東洋藥品工業股份有限公司
AB47872243,GEMCITABINE ， 注射劑 ， 1000.00 MG,7418.0,4654,台灣東洋藥品工業股份有限公司
AB47945100,MELOXICAM ， 一般錠劑膠囊劑 ， 7.50 MG,65093.5,2.36,寶齡富錦生技股份有限公司
AB47979265,MEROPENEM ， 注射劑 ， 250.00 MG,18490.0,382,瑩碩生技醫藥股份有限公司
AB47979277,MEROPENEM ， 注射劑 ， 500.00 MG,45477.5,513,瑩碩生技醫藥股份有限公司
AB47981100,ACARBOSE ， 一般錠劑膠囊劑 ， 50.00 MG,13481675.3,3.95,生達化學製藥股份有限公司
AB47984100,ACARBOSE ， 一般錠劑膠囊劑 ， 50.00 MG,4337501.7,3.61,永信藥品工業股份有限公司
AB47991100,METFORMIN ， 一般錠劑膠囊劑 ， 850.00 MG,456466.0,2.54,瑩碩生技醫藥股份有限公司
AB48027100,RIBAVIRIN ， 一般錠劑膠囊劑 ， 200.00 MG,2435.0,74,東生華製藥股份有限公司
AB48089100,GLICLAZIDE ， 緩釋錠劑膠囊劑 ， 30.00 MG,3124121.6,2.39,信東生技股份有限公司
AB48130100,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,331088.0,1.8,正和製藥股份有限公司新營廠
AB48190100,PANTOPRAZOLE ， 一般錠劑膠囊劑 ， 40.00 MG,968112.0,22,優生製藥廠股份有限公司
AB48229100,METFORMIN ， 一般錠劑膠囊劑 ， 1000.00 MG,330096.0,2.54,瑩碩生技醫藥股份有限公司
AB48351100,RISPERIDONE ， 一般錠劑膠囊劑 ， 2.00 MG,63.0,9.5,新益貿易股份有限公司
AB48439100,BISOPROLOL ， 一般錠劑膠囊劑 ， 5.00 MG,5329575.6,3.42,瑞安大藥廠股份有限公司
AB48484100,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,832475.0,2.16,培力藥品工業股份有限公司
AB484841G0,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,33072298.5,2,培力藥品工業股份有限公司
AB48506100,ESCITALOPRAM OXALATE ， 一般錠劑膠囊劑 ， 10.00 MG,7653551.7,9.7,東竹藥品股份有限公司
AB48507100,TOPIRAMATE ， 一般錠劑膠囊劑 ， 25.00 MG,6234.5,8.7,保盛藥業股份有限公司
AB48586100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,555089.9,8.9,生達化學製藥股份有限公司
AB48643157,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 120.00 ML,2.0,89,永信藥品工業股份有限公司
AB48643199,IBUPROFEN ， 口服液劑 ， 20.00  MG/ML ， 1.00 ML,2.0,0.19,永信藥品工業股份有限公司
AB48644100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,36691.0,8.9,永信藥品工業股份有限公司
AB48681100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,483239.5,8.9,五洲製藥股份有限公司
AB48699209,KETOROLAC ， 注射劑 ， 30.00 MG,16.0,24.7,盈盈生技製藥股份有限公司三峽廠
AB48751277,IMIPENEM 500MG + CILASTATIN 500MG， 注射劑， 500.00MG,26883.0,471,信東生技股份有限公司
AB48802277,IMIPENEM 500MG + CILASTATIN 500MG， 注射劑， 500.00MG,65237.5,471,意欣國際有限公司
AB48836100,RAMIPRIL ， 一般錠劑膠囊劑 ， 10.00 MG,8820.0,9,保盛藥業股份有限公司
AB48878100,VALPROIC ACID ， 緩釋錠劑膠囊劑 ， 500.00 MG,1450496.4,8.2,健喬信元醫藥生技股份有限公司
AB48909100,ANASTROZOLE ， 一般錠劑膠囊劑 ， 1.00 MG,177.0,85,美時化學製藥股份有限公司
AB48911277,IMIPENEM 500MG + CILASTATIN 500MG， 注射劑， 500.00MG,55032.5,471,因華生技製藥股份有限公司
AB48969100,THALIDOMIDE， 一般錠劑膠囊劑， 50.00MG,612312.4,271,台灣東洋藥品工業股份有限公司
AB48991100,NICORANDIL ， 一般錠劑膠囊劑 ， 5.00 MG,14930731.3,4.82,生達化學製藥股份有限公司
AB48993245,PANTOPRAZOLE ， 注射劑 ， 40.00 MG,196684.3,199,東竹藥品股份有限公司
AB49011100,BUPROPION ， 緩釋錠劑膠囊劑 ， 150.00 MG,473726.5,9.9,元豐泰生技醫藥股份有限公司
AB49012100,RISPERIDONE ， 一般錠劑膠囊劑 ， 2.00 MG,515757.5,9.5,營養家行銷有限公司
AB49021100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,15249.5,8.9,信東生技股份有限公司
AB49053143,PROCATEROL ， 口服液劑 ， 5.00  MCG/ML ， 30.00 ML,1146.3,30.8,生達化學製藥股份有限公司
AB49053151,PROCATEROL ， 口服液劑 ， 5.00  MCG/ML ， 60.00 ML,226.0,58,生達化學製藥股份有限公司
AB49109100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 100.00 MG,21.0,4.86,十全實業股份有限公司
AB49110100,NICORANDIL ， 一般錠劑膠囊劑 ， 5.00 MG,2647553.3,4.3,十全實業股份有限公司
AB49143100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 40.00 MG,2025583.5,32.9,南光化學製藥股份有限公司
AB49147209,CEFEPIME ， 注射劑 ， 1000.00 MG,93326.4,440,中國化學製藥股份有限公司台南三廠
AB49147277,CEFEPIME ， 注射劑 ， 500.00 MG,1762530.1,98,中國化學製藥股份有限公司台南三廠
AB49165100,ENTACAPONE ， 一般錠劑膠囊劑 ， 200.00 MG,4230.0,19.8,瑩碩生技醫藥股份有限公司
AB49189100,CILOSTAZOL ， 一般錠劑膠囊劑 ， 50.00 MG,4426664.6,9.9,中國化學製藥股份有限公司新豐工廠
AB49225100,GLICLAZIDE ， 緩釋錠劑膠囊劑 ， 30.00 MG,273391.0,2.1,井田國際醫藥廠股份有限公司
AB49240100,MIRTAZAPINE ， 一般錠劑膠囊劑 ， 15.00 MG,5092056.7,9.2,南光化學製藥股份有限公司
AB49342100,TAMSULOSIN ， 緩釋錠劑膠囊劑 ， 200.00 MCG,525199.5,9.7,貽丹貿易有限公司
AB49429100,PIOGLITAZONE ， 一般錠劑膠囊劑 ， 30.00 MG,60.0,27.6,五洲製藥股份有限公司
AB49446100,GABAPENTIN ， 一般錠劑膠囊劑 ， 800.00 MG,188566.9,23.6,南光化學製藥股份有限公司
AB49454100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 40.00 MG,825613.3,25.7,信東生技股份有限公司
AB49457100,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,26758.0,1.71,瑞士藥廠股份有限公司
AB494571G0,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,69512.0,2,瑞士藥廠股份有限公司
AB49466100,GLICLAZIDE ， 緩釋錠劑膠囊劑 ， 30.00 MG,135351.5,2.11,永信藥品工業股份有限公司
AB49503100,PRAVASTATIN ， 一般錠劑膠囊劑 ， 20.00 MG,370185.0,8.9,南光化學製藥股份有限公司
AB49518100,QUETIAPINE ， 一般錠劑膠囊劑 ， 100.00 MG,127646.4,9.6,鼎豐宇藥品生技股份有限公司
AB49532100,REPAGLINIDE ， 一般錠劑膠囊劑 ， 2.00 MG,929559.0,4.3,優生製藥廠股份有限公司
AB49551100,FENOFIBRATE ， 一般錠劑膠囊劑 ， 145.00-200.00 MG,5389710.0,6.5,井田國際醫藥廠股份有限公司
AB49556100,SERTRALINE ， 一般錠劑膠囊劑 ， 100.00 MG,1318159.4,8.9,南光化學製藥股份有限公司
AB49581100,PIOGLITAZONE ， 一般錠劑膠囊劑 ， 30.00 MG,197244.5,9.6,十全實業股份有限公司
AB49599100,METFORMIN ， 一般錠劑膠囊劑 ， 850.00 MG,160434.0,2.23,明大化學製藥股份有限公司
AB49656100,MIRTAZAPINE ， 一般錠劑膠囊劑 ， 30.00 MG,3555587.2,8.9,加拿安股份有限公司
AB49696100,LEVOFLOXACIN ， 一般錠劑膠囊劑 ， 500.00 MG,573168.5,47.7,中國化學製藥股份有限公司新豐工廠
AB49719100,CLOPIDOGREL 75MG + ACETYLSALICYLIC ACID 0-100MG， 一般錠劑膠囊劑,554343.0,48.6,培力藥品工業股份有限公司
AB49735265,MEROPENEM ， 注射劑 ， 250.00 MG,42066.0,375,信東生技股份有限公司
AB49735277,MEROPENEM ， 注射劑 ， 500.00 MG,196695.7,415,信東生技股份有限公司
AB49742100,QUETIAPINE ， 一般錠劑膠囊劑 ， 200.00 MG,18450.0,45.9,睿昶興業有限公司
AB49770221,PIRACETAM ， 注射劑 ， 1.00 GM,21146.0,15,台裕化學製藥廠股份有限公司
AB49770229,PIRACETAM ， 注射劑 ， 2.00 GM,44.0,33.7,台裕化學製藥廠股份有限公司
AB49905100,ALFUZOSIN ， 緩釋錠劑膠囊劑 ， 10.00 MG,506969.0,9.8,生達化學製藥股份有限公司
AB49969100,AMLODIPINE ， 一般錠劑膠囊劑 ， 10.00 MG,55503.0,7.9,生達化學製藥股份有限公司
AB49977209,CEFEPIME ， 注射劑 ， 1000.00 MG,6773.0,425,意欣國際有限公司
AB49977212,CEFEPIME ， 注射劑 ， 2000.00 MG,21751.0,676,意欣國際有限公司
AB49977277,CEFEPIME ， 注射劑 ， 500.00 MG,153115.0,98,意欣國際有限公司
AB50006100,ALFUZOSIN ， 緩釋錠劑膠囊劑 ， 10.00 MG,30460.0,8.2,十全實業股份有限公司
AB50083100,QUETIAPINE ， 一般錠劑膠囊劑 ， 25.00 MG,28.0,14.8,瑞士藥廠股份有限公司
AB50115100,QUETIAPINE ， 一般錠劑膠囊劑 ， 25.00 MG,17883.0,9.5,健喬信元醫藥生技股份有限公司
AB50154100,MYCOPHENOLATE MOFETIL ， 一般錠劑膠囊劑 ， 250.00 MG,165681.0,47.6,友華生技醫藥股份有限公司
AB50168100,TAMSULOSIN ， 緩釋錠劑膠囊劑 ， 200.00 MCG,162479.0,9.6,信東生技股份有限公司
AB50204100,ITRACONAZOLE ， 一般錠劑膠囊劑 ， 100.00 MG,287392.2,25.5,惠勝藥品股份有限公司
AB50206151,PIRACETAM ， 口服液劑 ， 200.00  MG/ML ， 60.00 ML,93.0,38.8,晟德大藥廠股份有限公司
AB50206157,PIRACETAM ， 口服液劑 ， 200.00  MG/ML ， 120.00 ML,86.0,74,晟德大藥廠股份有限公司
AB50206163,PIRACETAM ， 口服液劑 ， 200.00  MG/ML ， 200.00 ML,202427.7,99,晟德大藥廠股份有限公司
AB50206164,PIRACETAM ， 口服液劑 ， 200.00  MG/ML ， 240.00 ML,119.0,98,晟德大藥廠股份有限公司
AB50227100,AMBROXOL ， 緩釋錠劑膠囊劑 ， 75.00 MG,766383.0,2.72,正和製藥股份有限公司新營廠
AB50240100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG， 一般錠劑膠囊劑,2829070.3,9.3,瑞士藥廠股份有限公司
AB50256209,MEROPENEM ， 注射劑 ， 1000.00 MG,130145.0,881,舜興醫藥企業有限公司
AB50343209,MEROPENEM ， 注射劑 ， 1000.00 MG,131159.3,958,意欣國際有限公司
AB50343265,MEROPENEM ， 注射劑 ， 250.00 MG,103628.0,375,意欣國際有限公司
AB50343277,MEROPENEM ， 注射劑 ， 500.00 MG,94267.0,415,意欣國際有限公司
AB50431100,LOSARTAN 50MG + HYDROCHLOROTHIAZIDE 0-12.5MG， 一般錠劑膠囊劑,1524754.0,9.3,生達化學製藥股份有限公司
AB51029100,RAMIPRIL ， 一般錠劑膠囊劑 ， 10.00 MG,419714.0,9,健喬信元醫藥生技股份有限公司
AB51526245,OMEPRAZOLE/ESOMEPRAZOLE， 注射劑 ， 40.00 MG,485.0,86,生達化學製藥股份有限公司
AB51597100,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,56.0,1.74,裕心企業有限公司
AB515971G0,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,849979.0,2,裕心企業有限公司
AB51714100,MIGLITOL， 一般錠劑膠囊劑， 50.00MG,4946125.0,4.34,生達化學製藥股份有限公司
AB51728100,SERTRALINE ， 一般錠劑膠囊劑 ， 50.00 MG,4401651.6,9.8,瑞安大藥廠股份有限公司
AB51732100,ATORVASTATIN ， 一般錠劑膠囊劑 ， 40.00 MG,952.0,37.9,健亞生物科技股份有限公司
AB52308100,REPAGLINIDE 1MG + METFORMIN 0-500MG ， 一般錠劑膠囊劑,362023.0,3.42,信東生技股份有限公司
AB52446100,QUETIAPINE ， 一般錠劑膠囊劑 ， 200.00 MG,28695.0,34.9,健喬信元醫藥生技股份有限公司
AB52462100,DIHYDROERGOTOXINE ， 一般錠劑膠囊劑 ， 2000.00 MCG,4523024.5,3.65,曼哈頓企業有限公司
AB52485100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,156156.0,1.5,國嘉製藥工業股份有限公司幼獅三廠
AB524851G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,266173.5,2,國嘉製藥工業股份有限公司幼獅三廠
AB52548100,ACECLOFENAC ， 一般錠劑膠囊劑 ， 100.00 MG,6699867.4,5.3,榮慶藥品有限公司
AB52615100,LEVOFLOXACIN ， 一般錠劑膠囊劑 ， 100.00 MG,469445.8,7.7,培力藥品工業股份有限公司
AB54966100,PERINDOPRIL ， 一般錠劑膠囊劑 ， 6.6-6.8 MG,502.0,9.4,健喬信元醫藥生技股份有限公司
AB54967100,ATORVASTATIN ， 一般錠劑膠囊劑 ， 40.00 MG,344144.2,37.9,培力藥品工業股份有限公司
AB54977100,BUPROPION ， 緩釋錠劑膠囊劑 ， 150.00 MG,3003645.9,9.9,瑞安大藥廠股份有限公司
AB55028100,IRBESARTAN 150MG + HYDROCHLOROTHIAZIDE 0-12.5MG， 一般錠劑膠囊劑,3945719.8,9.4,健喬信元醫藥生技股份有限公司
AB55041100,QUETIAPINE ， 一般錠劑膠囊劑 ， 25.00 MG,4675773.0,9.5,鼎豐宇藥品生技股份有限公司
AB55057100,QUETIAPINE ， 一般錠劑膠囊劑 ， 300.00 MG,959.0,72,睿昶興業有限公司
AB55103100,QUETIAPINE ， 一般錠劑膠囊劑 ， 200.00 MG,1207040.2,43.4,瑞安大藥廠股份有限公司
AB55108100,NORDAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,1344556.0,4.17,萬宇康有限公司
AB55244100,QUETIAPINE ， 一般錠劑膠囊劑 ， 25.00 MG,490757.0,9.5,睿昶興業有限公司
AB552581G0,METFORMIN ， 一般錠劑膠囊劑 ， 250.00 MG,60.0,2,國嘉製藥工業股份有限公司幼獅三廠
AB55264277,MEROPENEM ， 注射劑 ， 500.00 MG,1237.0,415,松瑞製藥股份有限公司南科分公司針劑廠
AB55272100,ATORVASTATIN ， 一般錠劑膠囊劑 ， 10.00 MG,28.0,22.2,生達化學製藥股份有限公司
AB55275100,PIOGLITAZONE ， 一般錠劑膠囊劑 ， 30.00 MG,62134.5,9.6,優生製藥廠股份有限公司
AB55298100,METFORMIN ， 緩釋錠劑膠囊劑 ， 500.00 MG,4264.0,2.16,十全實業股份有限公司
AB55406100,BISOPROLOL ， 一般錠劑膠囊劑 ， 5.00 MG,2417046.1,3.86,榮民製藥股份有限公司
AB55536100,MONTELUKAST ， 一般錠劑膠囊劑 ， 5.00 MG,9747.5,9.3,永茂藥業股份有限公司
